climate_udel_air_temp_v501_mean.1900.max,climate_udel_air_temp_v501_mean.1907.max,climate_udel_air_temp_v501_mean.1901.max,climate_udel_air_temp_v501_mean.1912.max,climate_udel_air_temp_v501_mean.1913.max,climate_udel_air_temp_v501_mean.1906.max,climate_udel_air_temp_v501_mean.1905.max,climate_udel_air_temp_v501_mean.1910.max,climate_udel_air_temp_v501_mean.1903.max
26.7,26.125,26.48333333333333,26.383333333333333,26.1,26.058333333333334,25.975,25.825,26.008333333333333
26.8,25.95833333333333,26.3,26.416666666666664,26.041666666666664,25.866666666666667,25.766666666666666,25.616666666666667,25.78333333333333
27.383333333333333,25.941666666666663,26.258333333333333,26.625,26.258333333333333,26.116666666666667,25.85,25.775,26.191666666666663
27.45,26.35833333333333,26.475,27.016666666666666,26.60833333333333,26.4,26.125,26.066666666666663,26.325
26.84166666666667,25.95833333333333,26.3,26.46666666666667,26.075,25.866666666666667,25.766666666666666,25.616666666666667,25.78333333333333
26.8,25.95833333333333,26.325,26.416666666666664,26.041666666666664,25.866666666666667,25.816666666666663,25.616666666666667,25.78333333333333
26.6,26.0,26.275,26.291666666666668,25.916666666666668,25.991666666666667,25.75,25.73333333333333,25.98333333333333
26.45833333333333,25.666666666666668,25.96666666666667,26.05,25.691666666666663,25.633333333333333,25.475,25.416666666666668,25.625
26.75,26.23333333333333,26.5,26.441666666666663,26.125,26.2,25.941666666666663,25.933333333333334,26.2
27.041666666666668,26.3,26.78333333333333,26.683333333333334,26.35833333333333,26.15,26.20833333333333,25.84166666666667,26.03333333333333
26.075,25.9,26.008333333333333,25.70833333333333,25.516666666666666,25.766666666666666,25.09166666666667,25.35,25.875
26.008333333333333,25.075,25.416666666666668,25.508333333333333,25.075,25.308333333333334,24.916666666666668,24.95,25.341666666666665
27.683333333333334,26.391666666666666,26.816666666666663,26.941666666666663,26.6,26.60833333333333,26.325,26.275,26.691666666666663
27.875,27.066666666666663,27.291666666666664,27.60833333333333,27.175,26.925,26.83333333333333,26.691666666666663,26.83333333333333
26.316666666666663,26.008333333333333,26.20833333333333,25.941666666666663,25.70833333333333,25.95,25.35833333333333,25.558333333333334,26.025
26.75,26.23333333333333,26.5,26.441666666666663,26.125,26.2,25.941666666666663,25.933333333333334,26.2
27.683333333333334,26.84166666666667,27.25,27.33333333333333,26.933333333333334,26.641666666666666,26.558333333333334,26.433333333333334,26.53333333333333
26.95,26.21666666666667,26.691666666666663,26.616666666666667,26.291666666666668,26.03333333333333,26.075,25.766666666666666,25.933333333333334
27.48333333333333,26.58333333333333,26.891666666666666,27.1,26.71666666666667,26.45,26.34166666666667,26.216666666666665,26.35833333333333
27.016666666666666,26.466666666666665,26.73333333333333,26.758333333333333,26.35833333333333,26.416666666666668,26.25,26.21666666666667,26.40833333333333
26.816666666666663,26.241666666666667,26.791666666666668,26.425,26.28333333333333,26.141666666666666,26.508333333333333,25.6,25.916666666666668
26.8,26.23333333333333,26.616666666666667,26.45,26.225,26.2,26.058333333333334,25.925,26.191666666666663
27.775,27.10833333333333,27.558333333333334,27.416666666666668,27.183333333333334,27.016666666666666,27.141666666666666,26.641666666666666,26.875
27.683333333333334,26.83333333333333,27.2,27.33333333333333,26.933333333333334,26.641666666666666,26.558333333333334,26.433333333333334,26.53333333333333
26.391666666666666,25.725,26.25,26.025,25.816666666666663,25.60833333333333,26.008333333333333,25.20833333333333,25.416666666666664
27.875,27.066666666666663,27.291666666666664,27.60833333333333,27.175,26.925,26.83333333333333,26.691666666666663,26.83333333333333
27.08333333333333,26.508333333333333,27.066666666666663,26.73333333333333,26.55,26.48333333333333,26.741666666666667,25.991666666666667,26.291666666666664
26.625,25.966666666666665,26.6,26.28333333333333,26.175,26.058333333333334,26.08333333333333,25.7,25.98333333333333
26.725,26.15833333333333,26.625,26.391666666666666,26.216666666666665,26.15833333333333,26.016666666666666,25.883333333333333,26.15
27.175,26.48333333333333,26.95,26.891666666666666,26.53333333333333,26.33333333333333,26.375,26.03333333333333,26.241666666666667
26.45833333333333,25.0,25.475,25.65,25.35,25.241666666666667,24.991666666666667,24.883333333333333,25.375
27.683333333333334,26.83333333333333,27.2,27.33333333333333,26.933333333333334,26.641666666666666,26.558333333333334,26.433333333333334,26.53333333333333
25.541666666666668,25.09166666666667,25.325,25.191666666666663,24.85,25.133333333333333,24.6,24.758333333333333,25.2
26.966666666666665,26.35833333333333,26.883333333333333,26.633333333333333,26.46666666666667,26.366666666666667,26.291666666666668,26.1,26.33333333333333
27.016666666666666,26.466666666666665,26.73333333333333,26.758333333333333,26.35833333333333,26.416666666666668,26.25,26.21666666666667,26.40833333333333
27.675,26.84166666666667,27.25,27.325,26.925,26.575,26.541666666666668,26.425,26.491666666666667
26.6,26.0,26.275,26.291666666666668,25.916666666666668,25.991666666666667,25.75,25.73333333333333,25.98333333333333
25.525,25.09166666666667,25.325,25.175,24.85,25.133333333333333,24.58333333333333,24.758333333333333,25.2
27.491666666666667,26.741666666666667,27.125,27.191666666666663,26.816666666666663,26.53333333333333,26.508333333333333,26.316666666666663,26.441666666666663
25.58333333333333,24.975,25.258333333333333,25.35,24.7,25.35,24.73333333333333,24.98333333333333,25.433333333333334
26.633333333333333,25.941666666666663,26.325,26.291666666666668,25.975,25.85833333333333,25.816666666666663,25.55,25.741666666666667
27.775,27.10833333333333,27.558333333333334,27.416666666666668,27.183333333333334,27.016666666666666,27.141666666666666,26.641666666666666,26.875
26.008333333333333,25.075,25.416666666666668,25.508333333333333,25.075,25.308333333333334,24.916666666666668,24.95,25.341666666666665
